bacati,baciti
obraditi,obrađivati
obratiti,obraćati
obrazlagati,obrazložiti
obrazložiti,obrazlagati
obraćati,obratiti
obračunati,obračunavati
obračunavati,obračunati
obrađivati,obraditi
obrezati,obrezivati
obrnuti,obrtati
obrtati,obrnuti
obrubiti,obrubljivati
obuhvatiti,obuhvaćati
obuhvaćati,obuhvatiti
obujmiti,obujmljivati
obustaviti,obustavljati
obustavljati,obustaviti
obuti,obuvati
obuvati,obuti
obuzdati,obuzdavati
obuzdavati,obuzdati
obuzeti,obuzimati
obuzimati,obuzeti
obući,oblačiti
obučavati,obučiti
obučiti,obučavati
obvezati,obvezivati
obvezivati,obvezati
ocijeniti,ocjenjivati
ocjenjivati,ocijeniti
odabirati,odabrati
odabrati,odabirati
odati,odavati
odavati,odati
odazivati,odazvati
odazvati,odazivati
odbaciti,odbacivati
odbacivati,odbaciti
odbijati,odbiti
odbiti,odbijati
odgađati,odgoditi
odgoditi,odgađati
odgovarati,odgovoriti
odgovoriti,odgovarati
odgristi,odgrizati
odijeliti,odjeljivati
odijevati,odjenuti
odjaviti,odjavljivati
odjeknuti,odjekivati
odjeljivati,odijeliti
odjenuti,odijevati
odlediti,odleđivati
odletjeti,odlijetati
odlomiti,odlamati
odlučiti,odlučivati
odlučivati,odlučiti
odmaknuti,odmicati
odmamiti,odmamljivati
odmarati,odmoriti
odmicati,odmaknuti
odmjeriti,odmjeravati
odmoriti,odmarati
odmotati,odmotavati
odmotavati,odmotati
odmoći,odmagati
odnijeti,odnositi
odnositi,odnijeti
odobravati,odobriti
odobriti,odobravati
odobrovoljiti,odobrovoljivati
odolijevati,odoljeti
odoljeti,odolijevati
odraditi,odrađivati
odrastati,odrasti
odrasti,odrastati
odrediti,određivati
odreći,odricati
određivati,odrediti
održati,održavati
održavati,održati
odsjeći,odsijecati
odstraniti,odstranjivati
odstranjivati,odstraniti
odstupati,odstupiti
odstupiti,odstupati
odustajati,odustati
odustati,odustajati
oduzeti,oduzimati
oduzimati,oduzeti
odvajati,odvojiti
odvažiti,odvaživati
odvesti,odvoditi
odviti,odvijati
odvoditi,odvesti
opravdavati,opravdati
odvojiti,odvajati
odvrnuti,odvrtati
odvući,odvlačiti
odzdraviti,odzdravljati
odzvoniti,odzvanjati
odškrinuti,odškrinjati
ogledati,ogledavati
ogledavati,ogledati
ograditi,ograđivati
ograničiti,ograničavati
ogrijati,ogrijavati
ohladiti,ohlađivati
ohrabriti,ohrabrivati
ohrabrivati,ohrabriti
oivičiti,oivičivati
ojačati,ojačavati
ojačavati,ojačati
okončati,okončavati
okovati,okivati
skriti,skrivati
okrasti,okradati
okrenuti,okretati
okretati,okrenuti
okriviti,okrivljavati
okružiti,okruživati
okruživati,okružiti
okupiti,okupljati
okupljati,okupiti
olakšati,olakšavati
olakšavati,olakšati
oličavati,oličiti
omalovažavati,omalovažiti
omalovažiti,omalovažavati
omamiti,omamljivati
omamljivati,omamiti
omekšati,omekšavati
omesti,ometati
ometati,omesti
omogućavati,omogućiti
omogućiti,omogućavati
omogućivati,omogućiti
onemogućavati,onemogućiti
onemogućiti,onemogućavati
onesposobiti,onesposobljavati
onečistiti,onečišćivati
opadati,opasti
opasati,opasivati
opasivati,opasati
opasti,opadati
opaziti,opažati
opažati,opaziti
opijati,opiti
opipati,opipavati
opipavati,opipati
opirati,opreti
opisati,opisivati
opisivati,opisati
opiti,opijati
oplemeniti,oplemenjivati
oploditi,oplođivati
opomenuti,opominjati
opominjati,opomenuti
oporaviti,oporavljati
oporavljati,oporaviti
opovrgavati,opovrgnuti
opovrgnuti,opovrgavati
opozivati,opozvati
opozvati,opozivati
opravdati,pravdati
opraštati,oprostiti
opredijeliti,opredjeljivati
opremati,opremiti
opremiti,opremati
oprostiti,opraštati
opsjedati,opsjesti
opsjesti,opsjedati
opteretiti,opterećivati
opterećivati,opteretiti
optužiti,optuživati
optuživati,optužiti
opustiti,opuštati
opuštati,opustiti
opčiniti,opčinjavati
osakatiti,osakaćivati
osedlati,osedlavati
osigurati,osiguravati
djelati,djelovati
osiguravati,osigurati
osiromašiti,osiromašivati
osjetiti,osjećati
osjećati,osjetiti
oslobađati,osloboditi
osloboditi,oslobađati
osloniti,oslanjati
osnivati,osnovati
osnovati,osnivati
osporavati,osporiti
osporiti,osporavati
osramotiti,osramoćivati
ostajati,ostati
ostati,ostajati
ostaviti,ostavljati
ostavljati,ostaviti
ostvariti,ostvarivati
ostvarivati,ostvariti
osuditi,osuđivati
osumnjičiti,osumnjičivati
osuđivati,osuditi
osvajati,osvojiti
osvanuti,osvanjivati
osvetiti,osvećivati
osvećivati,osvetiti
osvježiti,osvježavati
osvojiti,osvajati
otapati,otopiti
otarasiti,otarasivati
oteti,otimati
oteći,otjecati
otimati,oteti
otići,odlaziti
otkazati,otkazivati
otkidati,otkinuti
otkinuti,otkidati
otklanjati,otkloniti
otkloniti,otklanjati
otkopati,otkopavati
otkopavati,otkopati
otkriti,otkrivati
otkrivati,otkriti
otopiti,otapati
otpadati,otpasti
otpasti,otpadati
otpisati,otpisivati
otpisivati,otpisati
otpočinuti,otpočivati
plašiti,uplašiti
otpraviti,otpravljati
otpustiti,otpuštati
otpuštati,otpustiti
otuđiti,otuđivati
otuđivati,otuđiti
otvarati,otvoriti
otvoriti,otvarati
ovjenčati,ovjenčavati
odobravati,odobriti
ovjeravati,ovjeriti
ovjeriti,ovjeravati
ovladati,ovladavati
ovladavati,ovladati
ovlastiti,ovlašćivati
ozlijediti,ozljeđivati
označavati,označiti
označiti,označavati
očarati,očaravati
očeličiti,očeličivati
oštetiti,oštećivati
oženiti,ženiti
oživjeti,oživljavati
oživljavati,oživjeti
oživotvoriti,oživotvoravati
padati,pasti
pamtiti,zapamtiti
pasti,padati
platiti,plaćati
isplatiti,isplaćati
plaćati,platiti
pljunuti,pljuvati
pljuvati,pljunuti
ploviti,otploviti
pobijati,pobiti
pobijediti,pobjeđivati
pobijeliti,pobjeljivati
pobiti,pobijati
pobjeći,bježati
pobjeđivati,pobijediti
poboljšati,poboljšavati
poboljšavati,poboljšati
pobuditi,pobuđivati
pobuniti,pobunjivati
pobuđivati,pobuditi
podbadati,podbosti
podbosti,podbadati
podcrtati,podcrtavati
podcrtavati,podcrtati
poderati,razdirati
podesiti,podešavati
podešavati,podesiti
podgrijati,podgrijavati
podgrijavati,podgrijati
podići,podizati
podjarmiti,podjarmljivati
podjarmljivati,podjarmiti
podmazati,podmazivati
podmititi,podmićivati
podmićivati,podmititi
podnijeti,podnositi
podnositi,podnijeti
podrediti,podređivati
podrezati,podrezivati
podrigivati,podrignuti
podrignuti,podrigivati
podrugivati,podrugnuti
podržati,podržavati
podržavati,podržati
podsjetiti,podsjećati
podsjećati,podsjetiti
podstrići,podstrizati
poduzeti,poduzimati
podučiti,podučavati
podvaliti,podvaljivati
podčiniti,podčinjavati
pogađati,pogoditi
pogibati,poginuti
poginuti,pogibati
pogledati,pogledavati
pogledavati,pogledati
pogoditi,pogađati
pohvaliti,pohvaljivati
pojaviti,pojavljivati
pojavljivati,pojaviti
pojačati,pojačavati
pojednostaviti,pojednostavnjivati
pojednostavniti,pojednostavnjivati
jesti,pojesti
pojesti,jesti
piti,popiti
pokazati,pokazivati
pokazivati,pokazati
poklanjati,pokloniti
pokloniti,poklanjati
pokoravati,pokoriti
pokoriti,pokoravati
pokrenuti,pokretati
pokretati,pokrenuti
pokriti,pokrivati
pokrivati,pokriti
pokrstiti,pokrštavati
pokušati,pokušavati
polagati,položiti
lagati,slagati2
poletjeti,polijetati
polijetati,poletjeti
položiti,polagati
pomaknuti,pomicati
pomicati,pomaknuti
pomisliti,pomišljati
pomišljati,pomisliti
pomoći,pomagati
ponavljati,ponoviti
ponestati,ponestajati
poniziti,ponizivati
poništavati,poništiti
poništiti,poništavati
ponižavati,poniziti
ponoviti,ponavljati
popisati,popisivati
popisivati,popisati
popratiti,popraćivati
popraviti,popravljati
popravljati,popraviti
poprimati,poprimiti
poprimiti,poprimati
poprskati,poprskavati
popuniti,popunjavati
popunjavati,popuniti
popustiti,popuštati
popuštati,popustiti
poravnati,poravnavati
poremetiti,poremećivati
poreći,poricati
porobiti,porobljavati
poroditi,porađati
poručiti,poručivati
posaditi,posađivati
posjetiti,posjećivati
posjećivati,posjetiti
poslati,slati
poslužiti,posluživati
posluživati,poslužiti
posramiti,posramljivati
posrnuti,posrtati
postajati2,postati
postati,postajati2
postaviti,postavljati
